User ID,Product Name,Rating,Review Text
1000,Jacket,2,Highly recommended!
1000,Dress,1,Would buy again!
1001,Jeans,5,Perfect for summer.
1002,Jacket,5,"Great quality, loved it!"
1003,T-shirt,3,Not worth the price.
1004,Jeans,1,Perfect for summer.
1005,T-shirt,2,"Great quality, loved it!"
1006,Blouse,3,Highly recommended!
1006,Jacket,2,Would buy again!
1006,T-shirt,5,Size was too small.
1007,Jeans,5,Size was too small.
1008,Shorts,3,Not worth the price.
1008,T-shirt,3,Material feels cheap.
1008,T-shirt,3,Not worth the price.
1009,Blouse,4,Size was too small.
1010,Dress,2,Highly recommended!
1011,Pants,4,Not worth the price.
1012,Sweater,4,Fabric is soft and comfortable.
1013,Pants,3,Size was too small.
1013,Shirt,3,Amazing fit and stylish.
1013,Dress,4,Would buy again!
1013,Blouse,2,Perfect for summer.
1014,Sweater,3,Perfect for summer.
1014,Shirt,3,Perfect for summer.
1014,Shorts,4,Highly recommended!
1014,Shirt,2,Highly recommended!
1015,T-shirt,1,Amazing fit and stylish.
1016,Jacket,1,Color faded after first wash.
1016,Jeans,2,Perfect for summer.
1016,Pants,5,Color faded after first wash.
1016,Pants,5,Fabric is soft and comfortable.
1017,Sweater,2,Highly recommended!
1017,Pants,3,Perfect for summer.
1018,Jacket,3,Amazing fit and stylish.
1019,Jeans,1,Size was too small.
1020,T-shirt,3,Would buy again!
1021,Sweater,2,Highly recommended!
1022,Pants,1,Amazing fit and stylish.
1022,T-shirt,3,Size was too small.
1023,Shorts,2,Perfect for summer.
1024,Dress,1,Material feels cheap.
1024,Dress,2,Highly recommended!
1024,Jacket,3,Material feels cheap.
1024,T-shirt,1,Perfect for summer.
1025,Dress,2,Color faded after first wash.
1026,Jeans,4,Highly recommended!
1026,Dress,4,Color faded after first wash.
1026,Pants,4,Size was too small.
1026,Jeans,1,Fabric is soft and comfortable.
1027,Skirt,2,Color faded after first wash.
1027,Shorts,4,Amazing fit and stylish.
1027,T-shirt,3,Amazing fit and stylish.
1027,Jacket,2,Material feels cheap.
1028,Dress,1,Size was too small.
1029,Jeans,4,Amazing fit and stylish.
1029,Jeans,3,Fabric is soft and comfortable.
1029,Pants,4,Perfect for summer.
1029,T-shirt,1,Color faded after first wash.
1030,Jacket,4,"Great quality, loved it!"
1030,Jeans,4,Material feels cheap.
1030,Shirt,5,Material feels cheap.
1030,Sweater,3,"Great quality, loved it!"
1031,Shorts,5,Would buy again!
1032,Jeans,1,"Great quality, loved it!"
1033,Jeans,4,Material feels cheap.
1033,Shirt,5,Size was too small.
1034,Skirt,2,Color faded after first wash.
1034,Skirt,3,Not worth the price.
1035,Dress,4,Not worth the price.
1035,Jacket,3,Perfect for summer.
1036,Skirt,2,Color faded after first wash.
1037,Pants,3,Amazing fit and stylish.
1038,Shorts,5,Color faded after first wash.
1038,Jacket,5,Amazing fit and stylish.
1039,Shirt,1,"Great quality, loved it!"
1039,Jeans,4,Amazing fit and stylish.
1039,Jacket,5,Would buy again!
1040,Dress,2,Color faded after first wash.
1041,Shorts,4,Highly recommended!
1042,Shirt,4,Color faded after first wash.
1042,Blouse,2,Size was too small.
1042,Jacket,4,Amazing fit and stylish.
1042,Blouse,4,Highly recommended!
1043,Shorts,2,Not worth the price.
1043,Dress,3,Highly recommended!
1043,T-shirt,4,Amazing fit and stylish.
1043,Blouse,4,Would buy again!
1044,Pants,4,Color faded after first wash.
1045,Sweater,2,"Great quality, loved it!"
1045,Dress,3,Would buy again!
1045,Sweater,4,Size was too small.
1045,Dress,1,Fabric is soft and comfortable.
1046,Sweater,3,Would buy again!
1046,Skirt,4,Not worth the price.
1046,Sweater,2,Fabric is soft and comfortable.
1047,Blouse,4,Fabric is soft and comfortable.
1047,T-shirt,4,Material feels cheap.
1047,T-shirt,3,Size was too small.
1048,Skirt,3,Highly recommended!
1049,T-shirt,5,Perfect for summer.
1049,T-shirt,1,Perfect for summer.
1049,Blouse,3,"Great quality, loved it!"
1049,Shirt,5,Material feels cheap.
1050,Shorts,3,"Great quality, loved it!"
1051,Skirt,2,Fabric is soft and comfortable.
1051,Blouse,2,Perfect for summer.
1051,Shirt,3,Material feels cheap.
1051,Shirt,2,Fabric is soft and comfortable.
1052,Pants,2,Color faded after first wash.
1053,Shirt,1,Not worth the price.
1053,T-shirt,3,Perfect for summer.
1053,Pants,3,Material feels cheap.
1053,T-shirt,2,Would buy again!
1054,Jacket,4,Color faded after first wash.
1054,Skirt,2,Perfect for summer.
1054,Jacket,1,Size was too small.
1055,Jeans,2,"Great quality, loved it!"
1056,Dress,3,Amazing fit and stylish.
1056,Shorts,2,Fabric is soft and comfortable.
1057,Skirt,2,Material feels cheap.
1057,Jeans,1,Perfect for summer.
1058,Jeans,5,Amazing fit and stylish.
1058,Shorts,1,Amazing fit and stylish.
1058,Blouse,1,Would buy again!
1059,Jacket,2,Fabric is soft and comfortable.
1059,Skirt,1,Fabric is soft and comfortable.
1060,Jeans,3,Size was too small.
1060,Blouse,3,Highly recommended!
1060,Dress,2,Would buy again!
1061,T-shirt,5,"Great quality, loved it!"
1061,Shirt,5,Amazing fit and stylish.
1061,Blouse,3,"Great quality, loved it!"
1061,Dress,3,Size was too small.
1062,Jeans,1,Size was too small.
1063,T-shirt,4,Material feels cheap.
1063,Jeans,1,Highly recommended!
1063,Jacket,4,Perfect for summer.
1064,Shirt,1,Size was too small.
1065,T-shirt,5,Amazing fit and stylish.
1065,Shorts,4,Not worth the price.
1065,Shorts,2,Perfect for summer.
1066,Sweater,5,Color faded after first wash.
1066,Jacket,1,Fabric is soft and comfortable.
1067,Shirt,3,Fabric is soft and comfortable.
1067,Pants,4,Highly recommended!
1068,Blouse,2,Fabric is soft and comfortable.
1068,Dress,5,Amazing fit and stylish.
1068,Blouse,5,Not worth the price.
1069,T-shirt,2,Perfect for summer.
1070,Blouse,1,"Great quality, loved it!"
1071,Skirt,3,Color faded after first wash.
1072,Shirt,1,Amazing fit and stylish.
1073,Sweater,1,"Great quality, loved it!"
1074,Shirt,4,Color faded after first wash.
1074,Jacket,5,Color faded after first wash.
1074,Skirt,2,Color faded after first wash.
1074,Shorts,5,Color faded after first wash.
1075,Shirt,4,Highly recommended!
1076,Shirt,4,Highly recommended!
1076,Shirt,4,Highly recommended!
1076,Jeans,2,"Great quality, loved it!"
1076,Blouse,2,Material feels cheap.
1077,Jacket,4,Color faded after first wash.
1078,Shirt,2,Fabric is soft and comfortable.
1078,Dress,1,"Great quality, loved it!"
1078,Jeans,5,Highly recommended!
1079,Pants,2,Color faded after first wash.
1079,Sweater,1,Would buy again!
1079,Jeans,1,"Great quality, loved it!"
1079,Sweater,4,Would buy again!
1080,Sweater,4,Not worth the price.
1080,Shirt,1,Would buy again!
1081,Jacket,3,Fabric is soft and comfortable.
1082,Dress,2,Perfect for summer.
1082,Jacket,1,Size was too small.
1082,Blouse,3,Size was too small.
1083,Jeans,5,Highly recommended!
1083,Shorts,4,Not worth the price.
1083,Shorts,5,Not worth the price.
1083,Shirt,2,Perfect for summer.
1084,Sweater,4,Fabric is soft and comfortable.
1084,Shirt,3,Highly recommended!
1084,Blouse,2,Fabric is soft and comfortable.
1085,Sweater,4,Fabric is soft and comfortable.
1085,Sweater,1,Highly recommended!
1085,Pants,3,Size was too small.
1086,Sweater,4,Color faded after first wash.
1087,Jeans,3,"Great quality, loved it!"
1087,Jacket,3,"Great quality, loved it!"
1087,Jacket,4,Perfect for summer.
1087,Shirt,2,Size was too small.
1088,Blouse,2,Perfect for summer.
1089,T-shirt,3,Not worth the price.
1089,Skirt,1,Amazing fit and stylish.
1089,Shirt,5,"Great quality, loved it!"
1090,Skirt,1,Color faded after first wash.
1091,Blouse,2,Would buy again!
1092,Pants,4,Perfect for summer.
1093,Pants,3,Perfect for summer.
1093,Jacket,1,Size was too small.
1094,Pants,1,Not worth the price.
1094,Pants,4,Amazing fit and stylish.
1094,Skirt,3,Perfect for summer.
1095,Pants,4,Color faded after first wash.
1096,Dress,3,Highly recommended!
1096,Shirt,5,Size was too small.
1097,Shirt,2,"Great quality, loved it!"
1097,T-shirt,4,Material feels cheap.
1098,Skirt,2,Not worth the price.
1098,Blouse,3,Size was too small.
1098,Blouse,3,Highly recommended!
1099,Shorts,2,Amazing fit and stylish.
1100,T-shirt,1,Highly recommended!
1101,Pants,5,Would buy again!
1102,Jacket,4,Amazing fit and stylish.
1102,Jacket,3,Amazing fit and stylish.
1102,Dress,5,Fabric is soft and comfortable.
1102,Jacket,5,Perfect for summer.
1103,Blouse,3,Highly recommended!
1104,T-shirt,1,Not worth the price.
1104,Shorts,5,Would buy again!
1104,Skirt,1,Highly recommended!
1104,Skirt,2,Perfect for summer.
1105,Dress,3,Size was too small.
1105,Shorts,3,Perfect for summer.
1105,Shirt,2,"Great quality, loved it!"
1106,T-shirt,4,Size was too small.
1107,Dress,4,Would buy again!
1108,T-shirt,4,Perfect for summer.
1108,Shorts,2,Fabric is soft and comfortable.
1108,Sweater,2,Highly recommended!
1108,Shorts,2,Amazing fit and stylish.
1109,Shirt,5,"Great quality, loved it!"
1110,Sweater,3,Color faded after first wash.
1110,Pants,1,Highly recommended!
1110,Pants,3,Material feels cheap.
1110,Shorts,4,Color faded after first wash.
1111,Dress,4,Size was too small.
1111,T-shirt,4,Perfect for summer.
1111,Shirt,4,Highly recommended!
1111,Jeans,5,"Great quality, loved it!"
1112,Skirt,5,Color faded after first wash.
1113,Blouse,4,Fabric is soft and comfortable.
1113,Shirt,3,Amazing fit and stylish.
1113,T-shirt,5,Perfect for summer.
1113,Dress,2,"Great quality, loved it!"
